VARNAMES: r SPECEFF
SPECEFF: 18.0 1.0
SPECEFF: 18.1 1.0
SPECEFF: 18.2 1.0
SPECEFF: 18.3 1.0
SPECEFF: 18.4 1.0
SPECEFF: 18.5 1.0
SPECEFF: 18.6 1.0
SPECEFF: 18.7 1.0
SPECEFF: 18.8 0.99
SPECEFF: 18.9 0.99
SPECEFF: 19.0 0.98
SPECEFF: 19.1 0.98
SPECEFF: 19.2 0.97
SPECEFF: 19.3 0.96
SPECEFF: 19.4 0.95
SPECEFF: 19.5 0.94
SPECEFF: 19.6 0.92
SPECEFF: 19.7 0.91
SPECEFF: 19.8 0.89
SPECEFF: 19.9 0.87
SPECEFF: 20.0 0.85
SPECEFF: 20.1 0.82
SPECEFF: 20.2 0.79
SPECEFF: 20.3 0.76
SPECEFF: 20.4 0.73
SPECEFF: 20.5 0.69
SPECEFF: 20.6 0.65
SPECEFF: 20.7 0.61
SPECEFF: 20.8 0.57
SPECEFF: 20.9 0.53
SPECEFF: 21.0 0.48
SPECEFF: 21.1 0.44
SPECEFF: 21.2 0.4
SPECEFF: 21.3 0.36
SPECEFF: 21.4 0.32
SPECEFF: 21.5 0.29
SPECEFF: 21.6 0.25
SPECEFF: 21.7 0.22
SPECEFF: 21.8 0.2
SPECEFF: 21.9 0.17
SPECEFF: 22.0 0.15
SPECEFF: 22.1 0.13
SPECEFF: 22.2 0.11
SPECEFF: 22.3 0.09
SPECEFF: 22.4 0.08
SPECEFF: 22.5 0.07
SPECEFF: 22.6 0.06
SPECEFF: 22.7 0.05
SPECEFF: 22.8 0.04
SPECEFF: 22.9 0.04
SPECEFF: 23.0 0.03
SPECEFF: 23.1 0.03
SPECEFF: 23.2 0.02
SPECEFF: 23.3 0.02
SPECEFF: 23.4 0.02
SPECEFF: 23.5 0.01
SPECEFF: 23.6 0.01
SPECEFF: 23.7 0.01
SPECEFF: 23.8 0.01
SPECEFF: 23.9 0.01
SPECEFF: 24.0 0.01
SPECEFF: 24.1 0.01
SPECEFF: 24.2 0.0
SPECEFF: 24.3 0.0
SPECEFF: 24.4 0.0
SPECEFF: 24.5 0.0
SPECEFF: 24.6 0.0
SPECEFF: 24.7 0.0
SPECEFF: 24.8 0.0
SPECEFF: 24.9 0.0
SPECEFF: 25.0 0.0
SPECEFF: 25.1 0.0
SPECEFF: 25.2 0.0
SPECEFF: 25.3 0.0
SPECEFF: 25.4 0.0
SPECEFF: 25.5 0.0
SPECEFF: 25.6 0.0
SPECEFF: 25.7 0.0
SPECEFF: 25.8 0.0
